,LotFrontage,LotArea,Street,Alley,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,GrLivArea,ExterCond,SalePrice
366,none,9500,Pave,none,6,5,1963,1963,2,1394,TA,159000
367,101.0,9150,Pave,none,6,5,1962,1962,2,1431,TA,165000
368,78.0,7800,Pave,none,5,6,1954,1954,2,1268,TA,132000
369,none,9830,Pave,none,5,7,1959,2006,2,1287,Gd,162000
370,none,8121,Pave,none,6,5,2000,2000,2,1664,TA,172400
371,80.0,17120,Pave,none,4,4,1959,1959,2,1588,TA,134432
372,50.0,7175,Pave,none,6,5,1984,1984,2,752,TA,125000
373,79.0,10634,Pave,none,5,6,1953,1953,2,1319,TA,123000
374,65.0,8200,Pave,none,7,5,2003,2004,3,1928,TA,219500
375,none,10020,Pave,none,1,1,1922,1950,1,904,Fa,61000
376,57.0,8846,Pave,none,5,5,1996,1996,3,914,TA,148000
377,102.0,11143,Pave,none,8,5,2004,2005,3,2466,TA,340000
378,88.0,11394,Pave,none,9,2,2010,2010,3,1856,TA,394432
379,60.0,8123,Pave,none,6,5,2000,2000,2,1800,TA,179000
380,50.0,5000,Pave,Pave,5,6,1924,1950,2,1691,TA,127000
381,60.0,7200,Pave,Pave,7,5,2006,2006,3,1301,TA,187750
382,79.0,9245,Pave,none,7,5,2006,2006,3,1797,TA,213500
383,60.0,9000,Pave,none,6,3,1928,1950,2,784,TA,76000
384,none,53107,Pave,none,6,5,1992,1992,3,1953,TA,240000
385,43.0,3182,Pave,none,8,5,2004,2005,3,1269,TA,192000
386,58.0,8410,Pave,none,5,3,1910,1996,2,1184,Fa,81000
387,72.0,7200,Pave,none,6,6,1976,1976,2,1125,TA,125000
388,93.0,9382,Pave,none,7,5,1999,2000,3,1479,TA,191000
389,96.0,12474,Pave,none,10,5,2007,2008,4,2332,TA,426000
390,50.0,8405,Pave,Grvl,5,8,1900,1950,2,1367,TA,119000
391,71.0,12209,Pave,none,6,5,2001,2002,2,1961,TA,215000
392,none,8339,Pave,none,5,7,1959,1959,2,882,TA,106500
393,none,7446,Pave,none,4,5,1941,1950,2,788,TA,100000
394,60.0,10134,Pave,none,5,6,1940,1950,2,1034,TA,109000
395,68.0,9571,Pave,none,5,6,1956,1956,2,1144,TA,129000
396,60.0,7200,Pave,none,5,5,1972,1972,2,894,TA,123000
397,69.0,7590,Pave,none,5,5,1962,1962,2,1812,TA,169500
398,60.0,8967,Pave,none,5,2,1920,1950,2,1077,Fa,67000
399,65.0,8125,Pave,none,7,5,2006,2007,3,1550,TA,241000
400,38.0,14963,Pave,none,8,5,1996,1996,3,1288,TA,245500
401,65.0,8767,Pave,none,7,5,2005,2005,3,1310,TA,164990
402,60.0,10200,Pave,none,5,8,1940,1997,2,672,TA,108000
403,93.0,12090,Pave,none,8,5,1998,1998,3,2263,TA,258000
404,none,10364,Pave,none,6,5,1995,1996,2,1572,TA,168000
405,none,9991,Pave,none,4,4,1976,1993,2,1620,TA,150000
406,51.0,10480,Pave,none,6,5,1936,1950,2,1639,TA,115000
407,63.0,15576,Pave,none,6,7,1915,1976,2,1680,TA,177000
408,109.0,14154,Pave,none,7,5,2006,2006,3,2172,TA,280000
409,85.0,10800,Pave,none,8,5,2007,2008,3,2078,TA,339750
410,68.0,9571,Pave,none,5,3,1958,1958,2,1276,Fa,60000
411,100.0,34650,Pave,none,5,5,1955,1955,2,1056,TA,145000
412,none,4403,Pave,none,7,5,2009,2009,4,1478,TA,222000
413,56.0,8960,Pave,Grvl,5,6,1927,1950,2,1028,TA,115000
414,59.0,11228,Pave,none,7,5,1993,1993,3,2097,TA,228000
415,73.0,8899,Pave,none,7,5,2007,2007,3,1340,TA,181134
416,74.0,7844,Pave,none,6,7,1978,1978,2,1400,TA,149500
417,86.0,22420,Pave,none,6,6,1918,1950,2,2624,TA,239000
418,60.0,8160,Pave,none,5,6,1940,1950,2,1134,TA,126000
419,65.0,8450,Pave,none,5,6,1968,1968,2,1056,TA,142000
420,78.0,7060,Pave,none,7,5,1997,1998,2,1344,Gd,206300
421,none,16635,Pave,none,6,7,1977,2000,3,1602,TA,215000
422,100.0,21750,Pave,none,5,5,1954,1954,2,988,TA,113000
423,80.0,9200,Pave,none,8,5,1998,1998,3,2630,TA,315000
424,72.0,9000,Pave,none,6,5,1956,1956,2,1196,TA,139000
425,60.0,3378,Pave,Grvl,7,8,1946,1992,2,1389,Gd,135000
426,none,12800,Pave,none,7,5,1989,1989,3,1644,TA,275000
427,77.0,8593,Pave,none,4,6,1957,1957,2,907,TA,109008
428,64.0,6762,Pave,none,7,5,2007,2007,3,1208,TA,195400
429,130.0,11457,Pave,none,6,5,1988,1988,2,1412,TA,175000
430,21.0,1680,Pave,none,6,5,1971,1971,2,987,TA,85400
431,60.0,5586,Pave,none,6,7,1920,1998,2,1198,TA,79900
432,24.0,1920,Pave,none,5,5,1971,1971,2,1365,TA,122500
433,100.0,10839,Pave,none,6,5,1997,1998,2,1604,TA,181000
434,21.0,1890,Pave,none,4,7,1972,1972,2,630,Gd,81000
435,43.0,10667,Pave,none,7,6,1996,1996,3,1661,TA,212000
436,40.0,4400,Pave,none,6,8,1920,1950,2,1118,TA,116000
437,50.0,6000,Pave,none,6,7,1926,2004,3,904,TA,119000
438,40.0,4280,Pave,none,5,6,1913,2002,2,694,TA,90350
439,67.0,12354,Pave,Grvl,6,8,1920,2000,2,1196,TA,110000
440,105.0,15431,Pave,none,10,5,2008,2008,4,2402,TA,555000
441,92.0,12108,Pave,none,4,4,1955,1955,2,1440,TA,118000
442,52.0,6240,Pave,none,5,7,1930,1992,2,1573,TA,162900
443,53.0,3922,Pave,none,7,5,2006,2007,3,1258,TA,172500
444,70.0,8750,Pave,none,7,5,1994,1995,3,1908,Gd,210000
445,73.0,9855,Pave,none,6,5,1956,1956,2,1689,TA,127500
446,137.0,16492,Pave,none,6,6,1966,2002,3,1888,TA,190000
447,none,11214,Pave,none,7,5,1998,1999,3,1886,TA,199900
448,50.0,8600,Pave,none,6,6,1937,1950,2,1376,TA,119500
449,50.0,6000,Pave,none,3,7,1948,2002,2,1183,Gd,120000
450,70.0,5684,Pave,none,6,8,1930,2005,2,813,TA,110000
451,62.0,70761,Pave,none,7,5,1975,1975,2,1533,TA,280000
452,none,9303,Pave,none,6,5,1996,1997,3,1756,TA,204000
453,75.0,9000,Pave,none,8,5,2008,2008,3,1590,TA,210000
454,63.0,9297,Pave,none,5,5,1976,1976,2,1728,TA,188000
455,80.0,9600,Pave,none,7,6,1973,1973,2,1242,TA,175500
456,34.0,4571,Pave,Grvl,5,5,1916,1950,2,1344,TA,98000
457,none,53227,Pave,none,4,6,1954,1994,2,1663,TA,256000
458,none,5100,Pave,Grvl,8,7,1925,1996,2,1666,Gd,161000
459,none,7015,Pave,none,5,4,1950,1950,2,1203,TA,110000
460,75.0,8004,Pave,none,8,5,2009,2009,3,1935,TA,263435
461,60.0,7200,Pave,none,7,9,1936,2007,3,1135,Gd,155000
462,60.0,8281,Pave,none,5,5,1965,1965,2,864,TA,62383
463,74.0,11988,Pave,none,6,7,1934,1995,2,1660,TA,188700
464,60.0,8430,Pave,none,5,5,1978,1978,2,1040,TA,124000
465,none,3072,Pave,none,7,5,2004,2004,3,1414,TA,178740
466,85.0,10628,Pave,none,7,5,1970,1970,2,1277,Gd,167000
467,79.0,9480,Pave,none,5,7,1942,1995,2,1644,TA,146500
468,98.0,11428,Pave,none,8,5,2006,2006,3,1634,TA,250000
469,76.0,9291,Pave,none,6,5,1993,1993,3,1710,TA,187000
470,none,6820,Pave,none,8,5,1985,1985,3,1502,TA,212000
471,92.0,11952,Pave,none,7,6,1977,1977,2,1969,TA,190000
472,35.0,3675,Pave,none,6,5,2005,2005,2,1072,TA,148000
473,110.0,14977,Pave,none,8,5,2006,2007,3,1976,TA,440000
474,41.0,5330,Pave,none,8,5,2000,2000,3,1652,TA,251000
475,80.0,8480,Pave,none,5,6,1963,1963,2,970,TA,132500
476,75.0,13125,Pave,none,6,5,1997,1998,2,1493,TA,208900
477,105.0,13693,Pave,none,9,5,2006,2006,4,2643,TA,380000
478,79.0,10637,Pave,none,8,5,2007,2008,3,1718,TA,297000
479,50.0,5925,Pave,none,4,7,1937,2000,2,1131,TA,89471
480,98.0,16033,Pave,none,9,5,2004,2005,3,1850,TA,326000
481,72.0,11846,Pave,none,9,5,2003,2004,3,1792,TA,374000
482,50.0,2500,Pave,Pave,7,8,1915,2005,3,1826,TA,155000
483,32.0,4500,Pave,none,6,5,1998,1998,2,1216,TA,164000
484,none,7758,Pave,none,5,7,1962,2001,2,999,Gd,132500
485,80.0,9600,Pave,none,5,7,1950,2007,3,1113,TA,147000
486,79.0,10289,Pave,none,5,7,1965,1965,2,1073,TA,156000
487,70.0,12243,Pave,none,5,6,1971,1971,2,1484,TA,175000
488,60.0,10800,Pave,none,5,4,1900,1970,2,2414,Fa,160000
489,21.0,1526,Pave,none,4,8,1970,2002,2,630,Gd,86000
490,none,2665,Pave,none,5,6,1976,1976,2,1304,TA,115000
491,79.0,9490,Pave,none,6,7,1941,1950,2,1578,TA,133000
492,105.0,15578,Pave,none,6,5,2006,2006,3,1456,TA,172785
493,70.0,7931,Pave,none,5,6,1960,1960,2,1269,TA,155000
494,50.0,5784,Pave,none,5,8,1938,1996,2,886,TA,91300
495,60.0,7879,Pave,none,4,5,1920,1950,2,720,TA,34900
496,none,12692,Pave,none,8,5,1992,1993,3,3228,TA,430000
497,60.0,9120,Pave,Pave,7,6,1925,1950,2,1820,Gd,184000
498,65.0,7800,Pave,none,5,7,1967,2004,2,899,TA,130000
499,70.0,7535,Pave,none,5,7,1958,1985,2,912,TA,120000
500,21.0,1890,Pave,none,6,5,1973,1973,2,1218,TA,113000
501,75.0,9803,Pave,none,7,5,2005,2005,3,1768,TA,226700
502,70.0,9170,Pave,none,5,7,1965,1965,2,1214,TA,140000
503,100.0,15602,Pave,none,7,8,1959,1997,2,1801,TA,289000
504,24.0,2308,Pave,none,6,5,1974,1974,2,1322,TA,147000
505,60.0,7596,Pave,Grvl,5,5,1952,1952,2,1960,TA,124500
506,80.0,9554,Pave,none,8,5,1993,1994,3,1911,TA,215000
507,75.0,7862,Pave,none,6,5,2009,2009,3,1218,TA,208300
508,60.0,9600,Pave,none,7,9,1928,2005,2,1378,Ex,161000
509,80.0,9600,Pave,none,5,6,1959,1959,2,1041,TA,124500
510,75.0,14559,Pave,none,5,7,1951,2000,3,1363,TA,164900
511,40.0,6792,Pave,none,7,5,2005,2006,3,1368,TA,202665
512,70.0,9100,Pave,none,5,5,1958,1958,2,864,TA,129900
513,71.0,9187,Pave,none,6,5,1983,1983,2,1080,Gd,134000
514,55.0,10594,Pave,none,5,5,1926,1950,2,789,TA,96500
515,94.0,12220,Pave,none,10,5,2009,2009,4,2020,TA,402861
516,none,10448,Pave,none,6,6,1972,1972,2,2119,TA,158000
517,79.0,10208,Pave,none,7,5,1996,1997,3,2344,TA,265000
518,none,9531,Pave,none,6,5,1998,1998,2,1796,TA,211000
519,53.0,10918,Pave,none,7,9,1926,2004,3,2080,TA,234000
520,60.0,10800,Pave,Grvl,4,7,1900,2000,2,1294,TA,106250
521,90.0,11988,Pave,none,6,6,1957,1957,2,1244,TA,150000
522,50.0,5000,Pave,none,6,7,1947,1950,2,1664,Gd,159000
523,130.0,40094,Pave,none,10,5,2007,2008,4,4676,TA,184750
524,95.0,11787,Pave,none,7,5,1996,1997,3,2398,TA,315750
525,62.0,7500,Pave,Pave,7,5,2005,2005,3,1266,TA,176000
526,70.0,13300,Pave,none,5,7,1956,2000,2,928,TA,132000
527,67.0,14948,Pave,none,9,5,2008,2008,4,2713,TA,446261
528,58.0,9098,Pave,none,4,7,1920,2002,2,605,TA,86000
529,none,32668,Pave,none,6,3,1957,1975,3,2515,TA,200624
530,85.0,10200,Pave,none,6,5,1988,1989,3,1509,TA,175000
531,60.0,6155,Pave,none,6,8,1920,1999,2,1362,TA,128000
532,60.0,7200,Pave,none,5,7,1955,2007,2,827,TA,107500
533,50.0,5000,Pave,none,1,3,1946,1950,1,334,Fa,39300
534,74.0,9056,Pave,none,8,5,2004,2004,3,1414,TA,178000
535,70.0,7000,Pave,none,5,7,1910,1991,2,1347,TA,107500
536,57.0,8924,Pave,none,7,5,1998,1999,2,1724,TA,188000
537,none,12735,Pave,none,4,5,1972,1972,2,864,TA,111250
538,none,11553,Pave,none,5,5,1968,1968,2,1159,TA,158000
539,none,11423,Pave,none,8,5,2001,2002,3,1601,TA,272000
540,85.0,14601,Pave,none,9,5,2006,2006,4,1838,TA,315000
541,none,11000,Pave,none,8,5,2000,2000,3,2285,TA,248000
542,78.0,10140,Pave,none,7,5,1998,1999,3,1680,TA,213250
543,34.0,4058,Pave,none,7,5,1998,1998,2,767,TA,133000
544,58.0,17104,Pave,none,7,5,2006,2006,3,1496,TA,179665
545,none,13837,Pave,none,7,5,1988,1988,3,2183,Gd,229000
546,70.0,8737,Pave,none,6,7,1923,1950,2,1635,TA,210000
547,54.0,7244,Pave,none,5,7,1970,1970,2,768,Gd,129500
548,49.0,8235,Pave,none,5,7,1955,1995,2,825,Gd,125000
549,75.0,9375,Pave,none,7,5,2003,2004,3,2094,TA,263000
550,53.0,4043,Pave,none,6,6,1977,1977,2,1069,TA,140000
551,50.0,6000,Pave,none,5,6,1957,1957,2,928,TA,112500
552,87.0,11146,Pave,none,8,5,2006,2006,3,1717,TA,255500
553,67.0,8777,Pave,none,4,5,1949,2003,2,1126,TA,108000
554,85.0,10625,Pave,none,7,5,2003,2004,3,2046,TA,284000
555,58.0,6380,Pave,none,5,6,1922,1950,2,1048,TA,113000
556,69.0,14850,Pave,none,5,5,1957,1957,2,1092,TA,141000
557,60.0,11040,Pave,none,4,6,1920,1950,2,1336,TA,108000
558,57.0,21872,Pave,none,7,5,1996,1997,2,1446,TA,175000
559,none,3196,Pave,none,7,5,2003,2004,3,1557,TA,234000
560,none,11341,Pave,none,5,6,1957,1996,2,1392,TA,121500
561,77.0,10010,Pave,none,5,5,1974,1975,2,1389,TA,170000
562,63.0,13907,Pave,none,5,6,1940,1969,2,996,TA,108000
563,66.0,21780,Pave,none,6,7,1918,1950,2,1674,TA,185000
564,none,13346,Pave,none,7,5,1992,2000,3,2295,TA,268000
565,66.0,6858,Pave,none,6,4,1915,1950,2,1647,TA,128000
566,77.0,11198,Pave,none,9,5,2005,2007,3,2504,TA,325000
567,70.0,10171,Pave,none,7,5,2004,2004,3,1535,TA,214000
568,79.0,12327,Pave,none,8,8,1983,2009,3,2132,TA,316600
569,none,7032,Pave,none,5,5,1979,1979,2,943,TA,135960
570,74.0,13101,Pave,none,5,5,1965,1965,2,1728,TA,142600
571,60.0,7332,Pave,none,6,6,1959,1959,2,864,TA,120000
572,83.0,13159,Pave,none,7,5,2009,2009,2,1692,TA,224500
573,76.0,9967,Pave,none,7,5,2000,2000,2,1430,TA,170000
574,70.0,10500,Pave,none,5,7,1971,2005,2,1109,TA,139000
575,80.0,8480,Pave,none,5,5,1947,1950,2,1216,TA,118500
576,52.0,6292,Pave,none,7,7,1928,1950,2,1477,TA,145000
577,96.0,11777,Pave,none,5,6,1966,1966,2,1320,TA,164500
578,34.0,3604,Pave,Pave,7,5,2007,2007,3,1392,TA,146000
579,81.0,12150,Pave,Grvl,5,5,1954,1954,2,1795,TA,131500
580,none,14585,Pave,none,6,6,1960,1987,2,1429,TA,181900
581,98.0,12704,Pave,none,8,5,2008,2009,4,2042,TA,253293
582,81.0,11841,Grvl,none,6,5,1990,1990,2,816,Gd,118500
583,75.0,13500,Pave,none,10,9,1893,2000,4,2775,Ex,325000
584,51.0,6120,Pave,none,4,7,1935,1995,2,1573,TA,133000
585,88.0,11443,Pave,none,8,5,2005,2006,3,2028,TA,369900
586,55.0,10267,Pave,none,6,7,1918,2000,2,838,Gd,130000
587,74.0,8740,Pave,none,5,6,1982,1982,2,860,TA,137000
588,65.0,25095,Pave,none,5,8,1968,2003,2,1473,TA,143000
589,50.0,9100,Pave,none,5,6,1930,1960,2,935,TA,79500
590,64.0,8320,Pave,none,7,5,2004,2004,3,1582,TA,185900
591,97.0,13478,Pave,none,10,5,2008,2008,4,2296,TA,451950
592,60.0,6600,Pave,none,5,8,1982,2003,2,816,Gd,138000
593,none,4435,Pave,none,6,5,2003,2003,3,848,TA,140000
594,88.0,7990,Pave,none,5,6,1975,1975,2,924,TA,110000
595,69.0,11302,Pave,none,8,5,2005,2006,3,1826,TA,319000
596,60.0,3600,Pave,Grvl,6,7,1910,1993,2,1368,TA,114504
597,53.0,3922,Pave,none,7,5,2006,2007,3,1402,TA,194201
598,80.0,12984,Pave,none,5,6,1977,1977,2,1647,TA,217500
599,24.0,1950,Pave,none,6,6,1980,1980,2,1556,Gd,151000
600,74.0,10927,Pave,none,8,5,2005,2005,3,1904,TA,275000
601,50.0,9000,Pave,none,6,6,1937,1950,2,1375,Gd,141000
602,80.0,10041,Pave,none,8,5,1992,1992,3,1915,TA,220000
603,30.0,3182,Pave,Pave,7,5,2004,2005,3,1200,TA,151000
604,88.0,12803,Pave,none,7,5,2002,2002,3,1494,TA,221000
605,85.0,13600,Pave,none,7,6,1965,1990,2,1986,TA,205000
606,82.0,12464,Pave,none,5,5,1996,1996,2,1040,Gd,152000
607,78.0,7800,Pave,none,5,8,1948,2002,2,2008,Gd,225000
608,78.0,12168,Pave,none,8,6,1934,1998,2,3194,TA,359100
609,61.0,7943,Pave,none,4,5,1961,1961,2,1029,Fa,118500
610,none,11050,Pave,none,9,5,2000,2000,3,2153,TA,313000
611,none,10395,Pave,none,6,6,1978,1978,2,1032,TA,148000
612,none,11885,Pave,none,8,5,2001,2001,3,1872,TA,261500
613,70.0,8402,Pave,none,5,5,2007,2007,2,1120,TA,147000
614,21.0,1491,Pave,none,4,6,1972,1972,2,630,TA,75500
615,80.0,8800,Pave,none,6,7,1963,1963,2,1054,Gd,137500
616,none,7861,Pave,none,6,5,2002,2003,3,1509,TA,183200
617,59.0,7227,Pave,none,6,6,1954,1954,2,832,TA,105500
618,90.0,11694,Pave,none,9,5,2007,2007,4,1828,TA,314813
619,85.0,12244,Pave,none,8,5,2003,2003,3,2262,TA,305000
620,45.0,8248,Pave,Grvl,3,3,1914,1950,2,864,TA,67000
621,90.0,10800,Pave,none,6,7,1974,1997,2,2614,TA,240000
622,71.0,7064,Pave,none,5,6,1977,1977,2,980,TA,135000
623,none,2117,Pave,none,6,5,2000,2000,3,1512,TA,168500
624,80.0,10400,Pave,none,6,5,1972,1972,2,1790,TA,165150
625,87.0,10000,Pave,none,6,6,1962,1962,2,1116,TA,160000
626,none,12342,Pave,none,5,5,1960,1978,2,1422,TA,139900
627,80.0,9600,Pave,none,6,6,1955,1972,2,1520,TA,153000
628,70.0,11606,Pave,none,5,5,1969,1969,2,2080,TA,135000
629,82.0,9020,Pave,none,6,5,1964,1964,2,1350,TA,168500
630,50.0,9000,Pave,Grvl,5,6,1880,1991,2,1750,TA,124000
631,34.0,4590,Pave,none,8,5,2006,2006,3,1554,TA,209500
632,85.0,11900,Pave,none,7,5,1977,1977,2,1411,Gd,82500
633,80.0,9250,Pave,none,5,7,1954,2005,2,1056,TA,139400
634,64.0,6979,Pave,none,6,5,1980,1980,2,1056,TA,144000
635,60.0,10896,Pave,Pave,6,7,1914,1995,1,3395,TA,200000
636,51.0,6120,Pave,none,2,3,1936,1950,1,800,Fa,60000
637,50.0,6000,Pave,none,5,4,1954,1954,2,1387,TA,93000
638,67.0,8777,Pave,none,5,7,1910,1950,2,796,TA,85000
639,53.0,3982,Pave,none,8,5,2006,2006,3,1567,TA,264561
640,62.0,12677,Pave,none,8,5,2003,2004,4,1518,TA,274000
641,none,7050,Pave,none,7,5,2001,2001,3,1929,TA,226000
642,75.0,13860,Pave,none,8,7,1972,1995,3,2704,TA,345000
643,80.0,10793,Pave,none,5,5,1969,1969,2,1620,TA,152000
644,85.0,9187,Pave,none,9,5,2009,2009,4,1766,TA,370878
645,none,10530,Pave,none,6,5,1971,1971,2,981,TA,143250
646,60.0,7200,Pave,none,5,5,1950,1950,2,1048,TA,98300
647,85.0,10452,Pave,none,6,5,1953,1953,2,1094,TA,155000
648,70.0,7700,Pave,none,6,5,1966,1966,2,1839,TA,155000
649,21.0,1936,Pave,none,4,6,1970,1970,2,630,TA,84500
650,65.0,8125,Pave,none,7,6,2007,2007,3,1665,TA,205950
651,60.0,9084,Pave,none,4,5,1940,1950,2,1510,TA,108000
652,70.0,8750,Pave,none,7,5,1996,1996,3,1716,TA,191000
653,60.0,10320,Pave,Grvl,6,7,1906,1995,2,1469,TA,135000
654,91.0,10437,Pave,none,8,6,1995,1995,3,2113,Gd,350000
655,21.0,1680,Pave,none,6,5,1971,1971,2,1092,TA,88000
656,72.0,10007,Pave,none,5,7,1959,2006,3,1053,TA,145500
657,60.0,7200,Pave,none,7,6,1931,2000,2,1502,Fa,149000
658,78.0,17503,Pave,none,6,5,1948,1950,2,1458,TA,97500
659,75.0,9937,Pave,none,5,7,1964,1999,2,1486,Gd,167000
660,none,12384,Pave,none,7,7,1976,1976,2,1935,TA,197900
661,52.0,46589,Pave,none,8,7,1994,2005,3,2448,TA,402000
662,120.0,13560,Pave,none,6,3,1968,1968,2,1392,TA,110000
663,90.0,10012,Pave,none,4,5,1972,1972,2,1181,TA,137500
664,49.0,20896,Pave,none,8,5,2005,2006,3,2097,TA,423000
665,106.0,11194,Pave,none,8,5,2000,2000,3,1936,TA,230500
666,none,18450,Pave,none,6,5,1965,1979,2,2380,Gd,129000
667,65.0,8125,Pave,none,6,5,1994,1998,2,1679,TA,193500
668,none,14175,Pave,none,5,6,1956,1987,2,1437,TA,168000
669,80.0,11600,Pave,none,4,5,1922,1950,2,1180,TA,137500
670,64.0,8633,Pave,none,6,5,2005,2005,3,1476,TA,173500
671,54.0,6629,Pave,none,6,6,1925,1950,2,1369,Gd,103600
672,none,11250,Pave,none,6,6,1977,1977,3,1208,TA,165000
673,110.0,14442,Pave,none,6,7,1957,2004,2,1839,TA,257500
674,80.0,9200,Pave,none,6,6,1965,1965,2,1136,TA,140000
675,24.0,2289,Pave,none,6,6,1978,1978,2,1441,TA,148500
676,60.0,9600,Pave,Grvl,4,2,1900,1950,2,1774,TA,87000
677,52.0,9022,Pave,none,5,8,1924,2006,3,792,TA,109500
678,80.0,11844,Pave,none,8,5,2008,2008,3,2046,TA,372500
679,none,9945,Pave,none,5,5,1961,1961,2,988,TA,128500
680,50.0,8012,Pave,none,6,5,1980,1980,2,923,TA,143000
681,55.0,4500,Pave,Pave,5,5,1932,2000,2,1520,TA,159434
682,none,2887,Pave,none,6,5,1996,1997,2,1291,TA,173000
683,90.0,11248,Pave,none,9,5,2002,2002,3,1668,TA,285000
684,58.0,16770,Pave,none,7,5,1998,1998,3,1839,TA,221000
685,none,5062,Pave,none,7,5,1984,1984,3,2090,TA,207500
686,84.0,10207,Pave,none,7,6,2007,2007,3,1761,TA,227875
687,none,5105,Pave,none,7,5,2004,2004,3,1102,TA,148800
688,60.0,8089,Pave,none,8,6,2007,2007,3,1419,TA,392000
689,61.0,7577,Pave,none,6,5,2005,2006,3,1362,TA,194700
690,none,4426,Pave,none,6,5,2004,2004,3,848,TA,141000
691,104.0,21535,Pave,none,10,6,1994,1995,4,4316,TA,755000
692,42.0,26178,Pave,none,7,5,1989,1990,3,2519,TA,335000
693,60.0,5400,Pave,none,5,6,1921,1968,2,1073,TA,108480
694,51.0,6120,Pave,none,5,6,1936,1950,2,1539,Fa,141500
695,54.0,13811,Pave,none,6,6,1987,1987,2,1137,TA,176000
696,50.0,6000,Pave,none,5,7,1921,1950,2,616,TA,89000
697,57.0,6420,Pave,none,5,7,1952,1952,2,1148,TA,123500
698,65.0,8450,Pave,none,5,8,1965,2009,2,894,Gd,138500
699,59.0,4282,Pave,Pave,7,5,2004,2004,3,1391,TA,196000
700,85.0,14331,Pave,none,8,5,2002,2002,3,1800,TA,312500
701,80.0,9600,Pave,none,7,5,1969,1969,2,1164,TA,140000
702,82.0,12438,Pave,none,8,5,2006,2006,4,2576,TA,361919
703,76.0,7630,Pave,none,5,9,1900,1996,2,1812,Gd,140000
704,70.0,8400,Pave,none,7,5,2004,2005,3,1484,TA,213000
705,70.0,5600,Pave,none,4,5,1930,1950,1,1092,Fa,55000
706,none,115149,Pave,none,7,5,1971,2002,2,1824,TA,302000
707,48.0,6240,Pave,none,8,5,2006,2006,3,1324,TA,254000
708,65.0,9018,Pave,none,7,5,2007,2007,3,1456,TA,179540
709,none,7162,Pave,none,5,7,1966,1966,2,904,TA,109900
710,56.0,4130,Pave,none,3,6,1935,2003,3,729,TA,52000
711,66.0,8712,Pave,Pave,4,7,1900,1950,2,1178,TA,102776
712,40.0,4671,Pave,none,8,5,1988,1989,3,1228,TA,189000
713,60.0,9873,Pave,none,4,5,1970,1970,2,960,TA,129000
714,none,13517,Pave,none,6,8,1976,2005,3,1479,TA,130500
715,78.0,10140,Pave,none,6,5,1974,1974,2,1350,TA,165000
716,60.0,10800,Pave,Grvl,7,8,1890,1998,2,2554,Gd,159500
717,80.0,10000,Pave,none,5,6,1973,2000,2,1178,TA,157000
718,96.0,10542,Pave,none,7,5,1993,1994,3,2418,TA,341000
719,69.0,9920,Pave,none,5,6,1969,1969,2,971,TA,128500
720,none,6563,Pave,none,8,5,1985,1985,3,1742,TA,275000
721,none,4426,Pave,none,6,5,2004,2004,3,848,TA,143000
722,70.0,8120,Pave,none,4,7,1970,1970,2,864,Gd,124500
723,60.0,8172,Pave,none,4,6,1954,1972,2,1470,TA,135000
724,86.0,13286,Pave,none,9,5,2007,2008,4,1698,TA,320000
725,60.0,6960,Pave,none,4,6,1970,1970,2,864,TA,120500
726,none,21695,Pave,none,6,9,1988,2007,3,1680,Gd,222000
727,64.0,7314,Pave,none,7,5,2007,2007,3,1232,TA,194500
728,85.0,11475,Pave,none,5,5,1958,1958,2,1776,TA,110000
729,52.0,6240,Pave,Grvl,4,5,1925,1950,2,1208,TA,103000
730,39.0,5389,Pave,none,8,5,1995,1996,3,1616,TA,236500
731,73.0,9590,Pave,none,7,5,2003,2003,3,1146,TA,187500
732,75.0,11404,Pave,none,7,5,1998,1999,3,2031,TA,222500
